character-simplified|pinyin|definition
找|zhǎo|to try to find; to look for; to call on sb; to find; to seek; to return; to give change
着|zháo|(chess) move; trick; all right!; (dialect) to add; to touch; to come in contact with; to feel; to be affected by; to catch fire; to burn; (coll.) to fall asleep; (after a verb) hitting the mark; succeeding in; aspect particle indicating action in progress; to wear (clothes); to contact; to use; to apply
真|zhēn|really; truly; indeed; real; true; genuine
正在|zhèngzài|just at (that time); right in (that place); right in the middle of (doing sth)
知道|zhīdào|to know; to become aware of; also pr. [zhi1 dao5]
准备|zhǔnbèi|preparation; to prepare; to intend; to be about to; reserve (fund)
自行车|zìxíngchē|bicycle; bike; CL:輛/辆[liang4]
走|zǒu|to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 撤走[che4 zou3]); to change (shape, form, meaning)
最|zùi|old variant of 最[zui4]; most; the most; -est (superlative suffix)
左边|zuǒbiān|left; the left side; to the left of
